Pais,Anho,NumPatentes,TotalCitas,MediaCitas,MaxCitas
Bahamas,1966,1,7,7.0,7
Bahamas,1967,2,10,5.0,7
Bahamas,1968,2,12,6.0,6
Bahamas,1969,7,58,8.285714285714286,15
Bahamas,1971,6,33,5.5,9
Bahamas,1972,3,27,9.0,17
Bahamas,1973,3,35,11.666666666666666,27
Bahamas,1974,7,23,3.2857142857142856,7
Bahamas,1975,4,9,2.25,3
Bahamas,1976,5,25,5.0,8
Bahamas,1977,4,10,2.5,5
Bahamas,1978,6,53,8.833333333333334,23
Bahamas,1979,4,46,11.5,24
Bahamas,1980,4,43,10.75,26
Bahamas,1981,8,76,9.5,35
Bahamas,1982,2,11,5.5,7
Bahamas,1983,4,48,12.0,18
Bahamas,1984,3,12,4.0,5
Bahamas,1985,5,35,7.0,16
Bahamas,1987,2,23,11.5,17
Bahamas,1988,3,11,3.6666666666666665,4
Bahamas,1989,5,32,6.4,14
Bahamas,1990,2,3,1.5,2
Bahamas,1991,4,36,9.0,18
Bahamas,1992,2,10,5.0,7
Bahamas,1993,2,8,4.0,7
Bahamas,1994,2,16,8.0,12
Bahamas,1995,3,11,3.6666666666666665,8
Bahamas,1996,2,21,10.5,14
Bahamas,1997,3,17,5.666666666666667,14
Bahamas,1998,7,8,1.1428571428571428,2
Barbados,1967,1,2,2.0,2
Barbados,1975,2,40,20.0,38
Barbados,1977,1,26,26.0,26
Barbados,1986,1,24,24.0,24
Belarus,1994,2,15,7.5,11
Belarus,1995,3,22,7.333333333333333,18
Belarus,1996,4,25,6.25,8
Belarus,1997,2,7,3.5,5
Belarus,1998,1,1,1.0,1
Belgium,1963,46,170,3.6956521739130435,24
Belgium,1964,92,322,3.5,18
Belgium,1965,130,470,3.6153846153846154,29
Belgium,1966,138,585,4.239130434782608,20
Belgium,1967,120,548,4.566666666666666,23
Belgium,1968,127,490,3.858267716535433,30
Belgium,1969,166,849,5.114457831325301,37
Belgium,1970,166,791,4.765060240963855,52
Belgium,1971,247,1160,4.696356275303644,37
Belgium,1972,285,1784,6.2596491228070175,131
Belgium,1973,238,1490,6.260504201680672,81
Belgium,1974,298,1974,6.624161073825503,87
Belgium,1975,246,1481,6.020325203252033,78
Belgium,1976,299,1912,6.394648829431438,73
Belgium,1977,223,1276,5.721973094170403,23
Belgium,1978,238,1696,7.126050420168068,43
Belgium,1979,159,1268,7.9748427672955975,50
Belgium,1980,219,1513,6.908675799086758,36
Belgium,1981,238,1509,6.340336134453781,47
Belgium,1982,204,1397,6.848039215686274,72
Belgium,1983,183,1365,7.459016393442623,146
Belgium,1984,222,1681,7.572072072072072,76
Belgium,1985,213,1411,6.624413145539906,43
Belgium,1986,208,1360,6.538461538461538,36
Belgium,1987,255,1604,6.290196078431372,55
Belgium,1988,262,1639,6.255725190839694,37
Belgium,1989,313,1808,5.776357827476039,50
Belgium,1990,270,1361,5.04074074074074,36
Belgium,1991,268,1460,5.447761194029851,69
Belgium,1992,272,1408,5.176470588235294,87
Belgium,1993,277,1397,5.043321299638989,46
Belgium,1994,257,937,3.6459143968871595,45
Belgium,1995,286,1105,3.8636363636363638,30
Belgium,1996,292,978,3.3493150684931505,28
Belgium,1997,221,457,2.067873303167421,16
